"county","votes","type","name","race"
"McIntosh","185","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Meriwether","166","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Miller","83","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Mitchell","162","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Monroe","309","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Montgomery","105","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Morgan","174","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Murray","160","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Muscogee","1217","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Newton","756","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Oconee","529","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Oglethorpe","295","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Paulding","1870","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Peach","140","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Pickens","165","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Pierce","260","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Pike","202","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Polk","270","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Pulaski","123","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Putnam","342","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Quitman","27","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Rabun","609","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Randolph","46","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Richmond","1221","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Rockdale","469","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Schley","42","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Screven","95","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Seminole","89","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Spalding","530","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Stephens","365","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Stewart","68","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Sumter","215","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Talbot","47","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Taliaferro","31","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Tattnall","245","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Taylor","102","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Telfair","113","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Terrell","95","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Thomas","371","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Tift","277","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Toombs","317","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Towns","194","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Treutlen","71","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Troup","559","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Turner","51","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Twiggs","66","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Union","334","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Upson","247","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Walker","560","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Walton","1087","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Ware","334","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Warren","64","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Washington","229","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Wayne","340","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Webster","70","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Wheeler","65","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"White","413","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Whitfield","606","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Wilcox","146","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Wilkes","89","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Wilkinson","75","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Worth","146","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Appling","2614","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Atkinson","971","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Bacon","2492","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Baker","270","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Baldwin","4320","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Banks","2423","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Barrow","9098","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Bartow","12067","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Ben Hill","2455","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Berrien","2703","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Bibb","8060","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Bleckley","2247","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Brantley","2551","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Brooks","1561","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Bryan","5971","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Bulloch","6664","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Burke","1815","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Butts","4642","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Calhoun","335","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Camden","5332","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Candler","1766","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Carroll","13657","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Catoosa","10880","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Charlton","1169","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Chatham","11410","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Chattahoochee","236","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Chattooga","2674","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Cherokee","35667","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Clarke","5057","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Clay","335","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Clayton","6016","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Clinch","973","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Cobb","44962","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Coffee","5628","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Colquitt","4612","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Columbia","19890","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Cook","2353","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Coweta","17774","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Crawford","1819","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Crisp","2805","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Dade","2049","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Dawson","6037","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Decatur","2764","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"DeKalb","21743","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Dodge","2482","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Dooly","1155","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Dougherty","2859","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Douglas","12144","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Early","979","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Echols","666","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Effingham","8391","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Elbert","2651","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Emanuel","2502","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Evans","1535","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Fannin","4188","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Fayette","17348","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Floyd","9614","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Forsyth","38504","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Franklin","3063","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Fulton","62773","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Gilmer","5099","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Glascock","597","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Glynn","11217","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Gordon","6493","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Grady","2575","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Greene","4087","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Gwinnett","56354","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Habersham","8332","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Hall","17729","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Hancock","460","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Haralson","3633","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Harris","5097","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Hart","4009","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Heard","1155","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Henry","24387","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Houston","20774","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Irwin","1579","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Jackson","12286","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Jasper","2211","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Jeff Davis","2184","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Jefferson","1428","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Jenkins","1077","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Johnson","1455","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Jones","4765","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Lamar","2658","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Lanier","1228","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Laurens","5367","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Lee","4191","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Liberty","2642","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Lincoln","1406","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Long","1234","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Lowndes","12569","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Lumpkin","5877","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Macon","997","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Madison","4093","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Marion","739","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"McDuffie","3158","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"McIntosh","1803","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Meriwether","1702","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Miller","860","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Mitchell","1872","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Monroe","4417","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Montgomery","1060","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Morgan","3862","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Murray","4293","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Muscogee","9414","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Newton","7905","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Oconee","8155","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Oglethorpe","2429","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Paulding","21960","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Peach","3597","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Pickens","5919","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Pierce","4136","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Pike","3810","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Polk","6057","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Pulaski","1849","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Putnam","3507","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Quitman","256","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Rabun","3834","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Randolph","594","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Richmond","7802","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Rockdale","7296","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Schley","1094","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Screven","1702","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Seminole","758","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Spalding","8069","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Stephens","5022","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Stewart","333","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Sumter","2612","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Talbot","352","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Taliaferro","176","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Tattnall","2684","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Taylor","1342","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Telfair","1177","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Terrell","772","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Thomas","5175","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Tift","5636","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Toombs","3818","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Towns","3176","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Treutlen","1141","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Troup","7059","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Turner","1333","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Twiggs","743","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Union","5307","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Upson","4641","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Walker","8961","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Walton","10915","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Ware","3775","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Warren","670","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Washington","2203","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Wayne","4676","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Webster","394","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Wheeler","703","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"White","4433","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Whitfield","6974","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Wilcox","912","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Wilkes","1310","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Wilkinson","753","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Worth","2259","Advance in Person","CHRIS CARR (I) (REP)","Attorney General"
"Appling","2","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Atkinson","1","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Bacon","0","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Baker","0","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Baldwin","0","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Banks","1","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Barrow","2","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Bartow","20","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Ben Hill","1","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Berrien","2","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Bibb","51","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Bleckley","0","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Brantley","3","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Brooks","11","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Bryan","13","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Bulloch","62","Provisional","CHRIS CARR (I) (REP)","Attorney General"
"Burke","0","Provisional","CHRIS CARR (I) (REP)","Attorney General"
